Time_p1,Reconfigurable Path,Time_p2,Generic Path,Meaningful_Time,Meaningful,Generic_Sensitivity_Time,Generic_Sensitivity
206,231.18847387255778,206,167.95105230802915,779.0,57.94960079555977,1229.0,-376.9224407483391
207,225.91629326224825,207,167.87121187643442,856.0,63.868536074566876,1230.0,-377.2987517437326
208,224.27996623477844,208,166.5728549377828,857.0,70.09897540203954,1231.0,-378.97074865014037
209,225.3981670640509,209,166.50725387406294,858.0,64.46534348961312,1232.0,-387.89027206635336
210,226.71935601220986,210,168.93257769490236,1068.0,82.39739988421258,1233.0,-393.40560477918746
211,229.68094140852338,211,169.4130898122018,1095.0,62.34191436730551,1234.0,-396.82000274193035
212,233.50364492906812,212,173.4091783038524,1106.0,60.685691842912476,1235.0,-400.1299268393553
213,239.86705300063056,213,175.188473202468,1107.0,59.17865775836338,1236.0,-394.77430786475327
214,238.10017740306102,214,176.27874004671793,1108.0,59.21154076505016,1237.0,-408.97582595337803
215,239.45534227482756,215,176.25987126681105,1109.0,56.762990006618786,1238.0,-415.6325823170158
216,239.31007959811424,216,180.46447875223294,1123.0,54.90884016993886,1239.0,-408.29667181887623
217,237.23708386509657,217,183.1242239686851,1124.0,53.172975336557926,1240.0,-406.80702603597797
218,241.09608233292676,218,182.99536199848984,1129.0,53.99022538411013,1241.0,-414.16229920364026
219,239.7839783436484,219,180.99468650635424,1139.0,35.62221131675503,1242.0,-409.49218721071446
220,236.3242959848825,220,175.85120250560414,1143.0,34.566582305658116,1243.0,-409.0470206735961
221,236.1585349105211,221,179.02322261464593,1144.0,36.31615226664983,1244.0,-406.04142982680617
222,235.5115600682111,222,180.66588246422134,1146.0,40.37023475900828,1245.0,-407.46395973535977
223,238.07297055136092,223,182.76758422481285,1167.0,51.292154498922926,1246.0,-400.1024020489188
224,240.24120301811712,224,182.20103018703128,1184.0,42.858954849644455,1247.0,-409.3978954593508
225,238.35227834527512,225,181.56942726153804,1185.0,48.37085688756081,1248.0,-402.3771719957853
226,239.27819016112053,226,181.7363508775747,1186.0,47.613738743226776,1249.0,-398.05176533475037
227,238.740322552691,227,180.61085556731342,1286.0,-5.979828165356707,1250.0,-394.68217300599855
228,235.24770299075306,228,173.38327322906846,1300.0,-13.537818332389165,1251.0,-386.6381646107664
229,233.8322630455628,229,170.65734423292974,1301.0,-19.59291961702175,1252.0,-394.80177361263287
230,230.88131545042563,230,170.91129281028657,1302.0,-13.068625315502004,1253.0,-393.60376701905534
231,232.02160910655414,231,173.42328006721942,1303.0,-14.04139358258135,1254.0,-386.52824503915804
232,237.19155195803881,232,177.72935470210837,1304.0,-15.287909928358175,1255.0,-380.5708109459314
233,238.44785681879057,233,178.80178379341712,1305.0,-14.286360502903953,1256.0,-386.2443637681675
234,242.35098838954568,234,182.80535620162968,1307.0,-5.2216729471788526,1257.0,-392.156904599737
235,242.00733967963595,235,182.35775704086234,1310.0,-16.29510776207657,1258.0,-382.58402254099354
236,237.79733635077338,236,177.95846477289805,1311.0,-17.5965918808324,1259.0,-384.7724447229997
237,238.18266519645692,237,176.99706420884087,1313.0,-13.05836830572634,1260.0,-396.1456779188137
238,237.71981461571374,238,173.63467109534366,1314.0,-13.618968486369688,1261.0,-400.3559630403614
239,236.1839728513314,239,172.02199225799228,1315.0,-16.669500770309554,1262.0,-401.34679977702723
240,237.54248417678104,240,174.47093956151625,1316.0,-15.243208988766803,1263.0,-409.6752040596117
241,236.7849108631046,241,172.41692884369476,1320.0,-3.4525475576738955,1264.0,-405.24987966810556
242,237.56574416046624,242,172.3981389818989,1321.0,-3.018660436367796,1265.0,-411.35115296237495
243,240.32132156974234,243,173.02406983688894,1322.0,-9.023842724096703,1266.0,-409.47534022442295
244,240.95470573937706,244,171.1578025303907,1323.0,-5.27961530289808,1267.0,-406.20174512889946
245,237.4288712681797,245,167.8125979926717,1324.0,-12.648967242348569,1268.0,-411.07430908875705
246,237.87925545090178,246,166.7214666923614,1329.0,-6.2283167556905354,1269.0,-410.8079935978006
247,234.16320446900625,247,165.6853225673434,1330.0,-8.598975799351784,1270.0,-407.07043895805566
248,236.19926470251778,248,169.04660879397267,1401.0,29.802269771999732,1271.0,-407.59956205140156
249,236.11898282666425,249,170.24791024307962,1402.0,32.21672472870333,1272.0,-408.7905987970853
250,233.53977855207867,250,168.43940231112475,1403.0,34.34906322725187,1273.0,-397.55391304376144
251,234.12014603335524,251,170.98803514130057,1404.0,37.18049204648051,1274.0,-400.2539664508112
252,236.04423086627065,252,170.27073736163314,1422.0,37.18540555812272,1275.0,-402.2010522591237
253,236.97867954179975,253,168.88817010976533,1453.0,24.69740910360143,1276.0,-398.8859732134055
254,236.06699994749977,254,162.96708950669864,1455.0,20.312687790929914,1277.0,-411.67223394789823
255,235.03015294112683,255,159.63281169058268,1456.0,20.33516253717262,1278.0,-408.3568134645546
256,238.29832471346046,256,161.09702490615751,1459.0,13.7543193981668,1279.0,-411.67762956055117
257,237.1902588103652,257,164.10501642666154,1460.0,17.15443996516435,1280.0,-402.8463590871172
258,237.21887551238729,258,164.2185864233842,1461.0,21.014001916542576,1281.0,-407.2086144247465
259,236.66102135462685,259,165.66694582034526,1462.0,22.31833529131241,1282.0,-407.3877820965043
260,237.03445279869607,260,166.9207329043797,1463.0,27.421155066512604,1283.0,-406.0030286573209
261,236.42757573871813,261,168.1358347800361,1464.0,33.27378488650754,1284.0,-405.0226170565657
262,236.03670965061605,262,166.24232989981118,1466.0,29.18459825383831,1285.0,-412.1529798037858
263,234.95091615210106,263,166.74410275851287,1467.0,31.446331669575933,1286.0,-413.16768177333984
264,236.73243077622675,264,167.3608872304901,1468.0,32.365105777668184,1287.0,-412.0007693740363
265,236.51289700249788,265,163.9743504048183,1469.0,36.60234314824426,1288.0,-411.23294457188786
266,234.6489114756004,266,163.41662884207645,1471.0,33.55235466609737,1289.0,-408.88839296014066
267,234.77225359692767,267,161.6399010941982,1472.0,33.263753299389066,1290.0,-403.5909734860162
268,233.46510313407603,268,160.5352593623052,1473.0,38.359551399672824,1291.0,-410.7729818924669
269,232.15210089929826,269,160.85655457673914,1474.0,39.214712397704496,1292.0,-414.02292122518566
270,231.0240104728233,270,157.60555781817664,1475.0,38.81625317567942,1293.0,-411.2994274565379
271,236.38597508368096,271,158.00852870215107,1491.0,27.461142193582063,1294.0,-409.56785639062554
272,237.02995973343724,272,160.49181245002427,1494.0,33.200016461222575,1295.0,-426.34603510592984
273,236.54631104816752,273,161.1138718775785,1495.0,37.434168770162124,1296.0,-425.59923979908245
274,237.74861248507767,274,161.33711181978344,1496.0,38.38275289291789,1297.0,-424.9455724972412
275,234.75743622210464,275,157.94710775262445,1497.0,33.41892462767268,1298.0,-416.9930993307221
276,235.3780516222516,276,154.5467505008807,1498.0,30.097551057075876,1299.0,-429.7595511149474
277,232.27570030580694,277,149.58629544280763,1499.0,31.308751205970964,1300.0,-429.0507564805132
278,230.60753809061205,278,151.13247432573098,1500.0,33.68963882190347,1301.0,-420.7785467364179
279,228.75992407738204,279,149.58312323103837,1501.0,31.99709107890107,1302.0,-430.9618711844719
280,224.8796021306366,280,142.37082284171964,1502.0,36.07739362508197,1303.0,-419.6344576974747
281,223.7154257827218,281,135.50326539796015,1505.0,34.699733363991406,1304.0,-413.38452513098633
282,227.82274110638264,282,137.90721383402712,1506.0,35.039750651115625,1305.0,-410.3249518326477
283,232.90570743904976,283,139.472773784945,1510.0,40.502339122824885,1306.0,-412.84303423383136
284,232.84199824438844,284,138.45129073025026,1512.0,33.35522468170472,1307.0,-403.6036916459991
285,235.3340932470622,285,143.57534369165785,1513.0,29.508949645012457,1308.0,-399.1137343311222
286,234.0417394876508,286,141.97500401016848,1516.0,32.153969988526285,1309.0,-407.7233971340534
287,230.54452544384395,287,138.8809729906391,1519.0,34.37105699578393,1310.0,-414.5455691567768
288,232.49981625758528,288,144.3322741633894,1520.0,40.44452343137474,1311.0,-414.3343801055238
289,229.50446342472537,289,141.5033690266086,1521.0,40.76267577492071,1312.0,-414.2567546344528
290,227.940099849071,290,137.15171785072425,1524.0,44.55611918515916,1313.0,-406.86146837397484
291,226.53009502546948,291,136.19286204075078,1525.0,48.871681122931236,1314.0,-407.1698416851501
292,227.73504296393503,292,136.1577511615581,1526.0,47.88155614665202,1315.0,-413.6582709936843
293,227.14718026116677,293,134.90030450735648,1534.0,35.62371419134928,1316.0,-417.21781668235724
294,229.61181262929128,294,141.00550657346176,1535.0,35.26237763195893,1317.0,-422.5225162543635
295,228.9208540280195,295,137.53539997987372,1536.0,30.783773226407725,1318.0,-423.9473219526562
296,228.2715973802193,296,136.1463627631312,1539.0,25.184692349360624,1319.0,-406.32130592711974
297,225.07813916821857,297,134.34411827275161,1549.0,39.384353707030996,1320.0,-398.6067657252539
298,226.87833470565164,298,135.3298683689078,1554.0,22.443465071512257,1321.0,-394.6285476852888
